sample_name,plate,well,organism,flooded,path_conc,experiment,sample_type,is_ambiguous,cin_prop,cry_prop,plu_prop,expected_innoc_prop,unexpected_innoc_prop,expected_innoc,only_expected_innoc,valid_inoc
S163,2,D10,Plu,TRUE,100,2,Sample,FALSE,4.594004823705065e-4,0.038747559434937406,0.001981164580222809,0.001981164580222809,0.03920695991730791,TRUE,FALSE,FALSE
S164,2,E10,Plu,TRUE,1,2,Sample,FALSE,9.639821225133643e-4,0,0,0,9.639821225133643e-4,FALSE,FALSE,FALSE
S165,2,F10,Cin,FALSE,1,2,Sample,FALSE,0,0.09995636284296078,0,0,0.09995636284296078,FALSE,FALSE,FALSE
S166,2,G10,Plu,FALSE,100,2,Sample,FALSE,0,0,0.002561375653450368,0.002561375653450368,0,TRUE,TRUE,TRUE
S167,2,H10,Plu,TRUE,100,2,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S168,2,A11,Cin,TRUE,1,2,Sample,FALSE,5.927190393209811e-4,0,0,5.927190393209811e-4,0,TRUE,TRUE,TRUE
S169,2,B11,Cin,FALSE,100,2,Sample,FALSE,0.7771795911845323,0,0,0.7771795911845323,0,TRUE,TRUE,TRUE
S17,1,B03,Cry,TRUE,100,1,Sample,FALSE,0,0.10705203968339243,0,0.10705203968339243,0,TRUE,TRUE,TRUE
S18,1,C03,Control,TRUE,0,1,Sample,FALSE,0,0.12144497438615086,0,NA,0.12144497438615086,FALSE,FALSE,FALSE
S2,1,B01,Cin,FALSE,1,1,Sample,FALSE,0,0.21402260891655023,0,0,0.21402260891655023,FALSE,FALSE,FALSE
S20,1,E03,Plu,FALSE,100,1,Sample,FALSE,0,0,0.025472539952948813,0.025472539952948813,0,TRUE,TRUE,TRUE
S21,1,F03,Cry,FALSE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S22,1,G03,Cry,TRUE,100,1,Sample,FALSE,0,0.17584587536866622,0,0.17584587536866622,0,TRUE,TRUE,TRUE
S23,1,H03,Plu,TRUE,100,1,Sample,FALSE,0,0,0.0015529984095799419,0.0015529984095799419,0,TRUE,TRUE,TRUE
S24,1,A04,Cin,FALSE,100,1,Sample,FALSE,0.33063495570777174,0,0,0.33063495570777174,0,TRUE,TRUE,TRUE
S25,1,B04,Control,FALSE,0,1,Sample,FALSE,3.615165619774956e-4,0,0,NA,3.615165619774956e-4,FALSE,FALSE,FALSE
S26,1,C04,Control,FALSE,0,1,Sample,FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE
S27,1,D04,Cin,FALSE,100,1,Sample,FALSE,0.24917436139381277,0,0,0.24917436139381277,0,TRUE,TRUE,TRUE
S28,1,E04,Cin,FALSE,100,1,Sample,FALSE,0.18393190052411268,0,0,0.18393190052411268,0,TRUE,TRUE,TRUE
S29,1,F04,Cin,FALSE,100,1,Sample,FALSE,0.5419235511713933,0,0,0.5419235511713933,0,TRUE,TRUE,TRUE
S3,1,C01,Plu,TRUE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S31,1,H04,Plu,FALSE,100,1,Sample,FALSE,2.8196813760045117e-4,0,0,0,2.8196813760045117e-4,FALSE,FALSE,FALSE
S32,1,A05,Cry,FALSE,100,1,Sample,FALSE,0,0.07031789910158949,0,0.07031789910158949,0,TRUE,TRUE,TRUE
S33,1,B05,Control,FALSE,0,1,Sample,FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE
S34,1,C05,Plu,FALSE,100,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S35,1,E05,Control,TRUE,0,1,Sample,FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE
S36,1,F05,Plu,TRUE,100,1,Sample,FALSE,0,0.018345967123754366,0,0,0.018345967123754366,FALSE,FALSE,FALSE
S37,1,G05,Cry,TRUE,100,1,Sample,FALSE,0,0.012876278265879303,0,0.012876278265879303,0,TRUE,TRUE,TRUE
S38,1,H05,Cry,TRUE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S39,1,A06,Cin,TRUE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S4,1,D01,Plu,TRUE,1,1,Sample,FALSE,4.4987493476813443e-4,0.012200608230911807,0,0,0.01265048316567994,FALSE,FALSE,FALSE
S40,1,B06,Cry,FALSE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S41,1,C06,Cry,FALSE,100,1,Sample,FALSE,0,0.13194239682970266,0,0.13194239682970266,0,TRUE,TRUE,TRUE
S42,1,D06,Plu,TRUE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S43,1,E06,Cry,FALSE,1,1,Sample,FALSE,0,0.1122069523039612,0,0.1122069523039612,0,TRUE,TRUE,TRUE
S45,1,G06,Cin,TRUE,100,1,Sample,FALSE,0.8016574239433532,0,0,0.8016574239433532,0,TRUE,TRUE,TRUE
S46,1,H06,Cin,TRUE,1,1,Sample,FALSE,2.0726904741584268e-4,0.025664784988844048,0,2.0726904741584268e-4,0.025664784988844048,TRUE,FALSE,FALSE
S47,1,A07,Plu,TRUE,100,1,Sample,FALSE,0,0,0.0053745381256298285,0.0053745381256298285,0,TRUE,TRUE,TRUE
S48,1,B07,Cin,TRUE,100,1,Sample,FALSE,0.7775173370319001,0.037933425797503466,0,0.7775173370319001,0.037933425797503466,TRUE,FALSE,FALSE
S49,1,C07,Cin,TRUE,1,1,Sample,FALSE,0,0.540554902947922,0,0,0.540554902947922,FALSE,FALSE,FALSE
S5,1,E01,Cin,FALSE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S50,1,D07,Control,TRUE,0,1,Sample,FALSE,1.8052931194261575e-4,0,0,NA,1.8052931194261575e-4,FALSE,FALSE,FALSE
S51,1,E07,Cry,FALSE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S52,1,F07,Plu,TRUE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S53,1,G07,Plu,FALSE,100,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S54,1,A08,Plu,FALSE,100,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S55,1,B08,Plu,FALSE,100,1,Sample,FALSE,0,0,0.0021148169361589635,0.0021148169361589635,0,TRUE,TRUE,TRUE
S56,1,C08,Cry,TRUE,100,1,Sample,FALSE,0,0.008442917938121759,0,0.008442917938121759,0,TRUE,TRUE,TRUE
S57,1,D08,Cry,FALSE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S58,1,E08,Cin,FALSE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S59,1,F08,Cry,FALSE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S6,1,F01,Cry,TRUE,1,1,Sample,FALSE,2.324680356450988e-4,0,0,0,2.324680356450988e-4,FALSE,FALSE,FALSE
S60,1,G08,Cin,FALSE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S61,1,H08,Cin,FALSE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S62,1,A09,Cry,TRUE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S63,1,B09,Cin,TRUE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S64,1,C09,Control,FALSE,0,1,Sample,FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE
S65,1,D09,Plu,TRUE,100,1,Sample,FALSE,2.7533039647577095e-4,0.0053383504650024475,0.0015143171806167401,0.0015143171806167401,0.005613680861478219,TRUE,FALSE,FALSE
S66,1,E09,Cin,TRUE,1,1,Sample,FALSE,0.031341694273544725,0.0017392333175579745,0,0.031341694273544725,0.0017392333175579745,TRUE,FALSE,FALSE
S68,1,G09,Plu,FALSE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S69,1,H09,Plu,FALSE,1,1,Sample,FALSE,5.52802511302837e-4,0,0,0,5.52802511302837e-4,FALSE,FALSE,FALSE
S7,1,G01,Cry,TRUE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S70,1,A10,Plu,FALSE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S72,1,D10,Plu,FALSE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S73,1,E10,Control,FALSE,0,1,Sample,FALSE,0.004605775095164987,0,0,NA,0.004605775095164987,FALSE,FALSE,FALSE
S74,1,F10,Control,TRUE,0,1,Sample,FALSE,0,0.18184106627096638,0,NA,0.18184106627096638,FALSE,FALSE,FALSE
S76,1,H10,Cin,FALSE,1,1,Sample,FALSE,0.004535006522954588,0.07539293035969435,0,0.004535006522954588,0.07539293035969435,TRUE,FALSE,FALSE
S77,1,A11,Plu,FALSE,100,1,Sample,FALSE,0,0,0.02952211083092441,0.02952211083092441,0,TRUE,TRUE,TRUE
S78,1,B11,Control,FALSE,0,1,Sample,FALSE,1.419265104528875e-4,0,0,NA,1.419265104528875e-4,FALSE,FALSE,FALSE
S79,1,C11,Control,TRUE,0,1,Sample,FALSE,0,8.00604901481119e-4,0,NA,8.00604901481119e-4,FALSE,FALSE,FALSE
S8,1,H01,Cin,TRUE,100,1,Sample,FALSE,0.8299622225720132,0,0,0.8299622225720132,0,TRUE,TRUE,TRUE
S80,1,D11,Cry,TRUE,1,1,Sample,FALSE,1.934727143012612e-4,0,0,0,1.934727143012612e-4,FALSE,FALSE,FALSE
S81,1,E11,Cin,FALSE,100,1,Sample,FALSE,0.4375981106192813,0,0,0.4375981106192813,0,TRUE,TRUE,TRUE
S82,1,F11,Cry,TRUE,100,1,Sample,FALSE,0,0.00516688831236783,0,0.00516688831236783,0,TRUE,TRUE,TRUE
S83,1,G11,Cry,FALSE,100,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S84,1,H11,Cin,TRUE,100,1,Sample,FALSE,0.6952040387042491,0,0,0.6952040387042491,0,TRUE,TRUE,TRUE
S85,1,A12,Plu,FALSE,1,2,Sample,FALSE,0,0.004544497600708535,0,0,0.004544497600708535,FALSE,FALSE,FALSE
S86,1,B12,Plu,TRUE,1,2,Sample,FALSE,1.3988133400165526e-4,0.12206977747211116,0,0,0.12220965880611281,FALSE,FALSE,FALSE
S87,1,C12,Cry,FALSE,100,2,Sample,FALSE,0,0.0015766494178525226,0,0.0015766494178525226,0,TRUE,TRUE,TRUE
S88,1,D12,Cin,TRUE,100,2,Sample,FALSE,0.8364097092558015,0,0,0.8364097092558015,0,TRUE,TRUE,TRUE
S89,1,E12,Cry,TRUE,100,2,Sample,FALSE,0,0.006224985023571596,0,0.006224985023571596,0,TRUE,TRUE,TRUE
S9,1,A02,Cry,FALSE,100,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S90,1,F12,Cry,TRUE,100,2,Sample,FALSE,3.433582194675306e-4,0.02024052683476546,0,0.02024052683476546,3.433582194675306e-4,TRUE,FALSE,FALSE
