"","sample_name","plate","well","organism","flooded","path_conc","experiment","sample_type","is_ambiguous","cin_prop","cry_prop","plu_prop","expected_innoc_prop","unexpected_innoc_prop","expected_innoc","only_expected_innoc","valid_inoc","raw_count","richness","shannon","invsimpson"
"56","S51",1,"E07","Cry","FALSE","1",1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,62230,93,1.88297064968503,3.70429766290959
"57","S53",1,"G07","Plu","FALSE","100",1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,61908,136,2.88078100298811,10.4386983613254
"58","S54",1,"A08","Plu","FALSE","100",1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,55850,93,2.07122140885415,3.80618093514475
"59","S55",1,"B08","Plu","FALSE","100",1,"Sample",FALSE,0,0,0.0021327606748349,0.0021327606748349,0,TRUE,TRUE,TRUE,67842,83,1.5065872733344,1.96944979393909
"60","S57",1,"D08","Cry","FALSE","1",1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,62619,79,1.7346370676839,2.60819088881728
"61","S58",1,"E08","Cin","FALSE","1",1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,66088,101,2.29759916660291,4.39215462133311
"62","S59",1,"F08","Cry","FALSE","1",1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,66086,105,1.84650191129347,3.10913612472485
"63","S60",1,"G08","Cin","FALSE","1",1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,35577,74,2.32439908965199,4.57646751897375
"64","S61",1,"H08","Cin","FALSE","1",1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,19850,81,2.62682414013655,7.44849902789406
"65","S64",1,"C09","Control","FALSE","0",1,"Sample",FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE,62243,90,1.54297634186886,1.96412944599199
"66","S68",1,"G09","Plu","FALSE","1",1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,68592,99,2.01527446321436,3.82266166380048
"67","S69",1,"H09","Plu","FALSE","1",1,"Sample",FALSE,0.000551941651882515,0,0,0,0.000551941651882515,FALSE,FALSE,FALSE,50702,125,2.37131540612842,3.51053385368207
"68","S70",1,"A10","Plu","FALSE","1",1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,76812,125,2.54502379175843,5.22913194307611
"69","S72",1,"D10","Plu","FALSE","1",1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,119067,103,2.13317505274824,4.73200283983947
"70","S73",1,"E10","Control","FALSE","0",1,"Sample",FALSE,0.00460006721559402,0,0,NA,0.00460006721559402,FALSE,FALSE,FALSE,47389,77,2.44035332883355,7.33881231630767
"71","S76",1,"H10","Cin","FALSE","1",1,"Sample",FALSE,0.00452847979553604,0.0753960868971849,0,0.00452847979553604,0.0753960868971849,TRUE,FALSE,FALSE,74159,119,2.4345879166233,5.01784958684848
"72","S77",1,"A11","Plu","FALSE","100",1,"Sample",FALSE,0,0,0.0295357094590444,0.0295357094590444,0,TRUE,TRUE,TRUE,78989,196,3.61471255484414,16.2023586527163
"73","S78",1,"B11","Control","FALSE","0",1,"Sample",FALSE,0.000141697249656384,0,0,NA,0.000141697249656384,FALSE,FALSE,FALSE,70563,105,2.31927058866408,6.15602905941243
"74","S81",1,"E11","Cin","FALSE","100",1,"Sample",FALSE,0.437449681492676,0,0,0.437449681492676,0,TRUE,TRUE,TRUE,39828,89,2.58856963965722,6.47563036014674
"75","S83",1,"G11","Cry","FALSE","100",1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,67034,138,3.02324614286637,10.8434076739982
"76","S85",1,"A12","Plu","FALSE","1",2,"Sample",FALSE,0,0.00455392558537523,0,0,0.00455392558537523,FALSE,FALSE,FALSE,137275,132,2.72599058753248,6.56645891770916
"77","S87",1,"C12","Cry","FALSE","100",2,"Sample",FALSE,0,0.00156494522691706,0,0.00156494522691706,0,TRUE,TRUE,TRUE,98890,113,1.83135950680329,2.6029786414383
"78","S9",1,"A02","Cry","FALSE","100",1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,31612,69,1.78532355720291,2.95867363531018
"79","S91",2,"A01","Control","FALSE","0",2,"Sample",FALSE,0.000365511919749827,0,0,NA,0.000365511919749827,FALSE,FALSE,FALSE,73842,98,2.19659746499147,4.0634324210993
"80","S92",2,"B01","Cry","FALSE","1",2,"Sample",FALSE,0.000610938712179984,0,0,0,0.000610938712179984,FALSE,FALSE,FALSE,103057,74,2.24886567816872,6.4307149043402
"81","S93",2,"C01","Cin","FALSE","100",2,"Sample",FALSE,0.852472461610286,0,0,0.852472461610286,0,TRUE,TRUE,TRUE,23384,94,3.08563053408947,12.3949540809214
"82","S94",2,"D01","Control","FALSE","0",2,"Sample",FALSE,0.00127310970884534,0,0,NA,0.00127310970884534,FALSE,FALSE,FALSE,72172,106,2.2527257773261,4.19383797733695
"83","S99",2,"A02","Cin","FALSE","1",2,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,38156,115,2.97307977250748,10.6206243021742
"84","S1",1,"A01","Cry","TRUE","100",1,"Sample",FALSE,0,0.00320810616552425,0,0.00320810616552425,0,TRUE,TRUE,TRUE,56860,77,2.14899895567145,5.63628195602358
"85","S10",1,"B02","Cry","TRUE","1",1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,35128,86,2.00967116073331,3.2552027872606
"86","S100",2,"B02","Cin","TRUE","1",2,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,50111,86,2.31074631259825,5.98967031347684
"87","S102",2,"D02","Cry","TRUE","1",2,"Sample",FALSE,0.000198496100135444,0,0,0,0.000198496100135444,FALSE,FALSE,FALSE,85627,93,2.34096192903888,5.78841874215275
"88","S105",2,"H02","Cry","TRUE","100",2,"Sample",FALSE,0,0.0137253472348802,0,0.0137253472348802,0,TRUE,TRUE,TRUE,54109,83,2.57019096748867,8.43570331051815
"89","S107",2,"B03","Cin","TRUE","100",2,"Sample",FALSE,0.861767890007578,0,0,0.861767890007578,0,TRUE,TRUE,TRUE,25537,98,2.762801245168,9.37411659789942
"90","S108",2,"C03","Control","TRUE","0",2,"Sample",FALSE,0.00190293531518303,0,0,NA,0.00190293531518303,FALSE,FALSE,FALSE,66612,100,2.3019297994101,4.85350560858262
"91","S109",2,"D03","Cin","TRUE","1",2,"Sample",FALSE,0.0889041514041514,0,0,0.0889041514041514,0,TRUE,TRUE,TRUE,107451,87,2.07389898900752,5.05696061479282
"92","S110",2,"E03","Cry","TRUE","100",2,"Sample",FALSE,0.000148348259250295,0.00227987851058348,0,0.00227987851058348,0.000148348259250295,TRUE,FALSE,FALSE,127766,113,2.63451515436242,6.7362246280402
"93","S112",2,"G03","Control","TRUE","0",2,"Sample",FALSE,0.000559562297935837,0.00101550194810578,0,NA,0.00157506424604161,FALSE,FALSE,FALSE,96352,77,1.76174568993571,3.31849190738672
"94","S116",2,"D04","Plu","TRUE","100",2,"Sample",FALSE,0.00022372317985213,0,0.0164276734919992,0.0164276734919992,0.00022372317985213,TRUE,FALSE,FALSE,92303,48,1.50888924758316,3.21052339606182
"95","S117",2,"E04","Cry","TRUE","1",2,"Sample",FALSE,0,0.00060646431305489,0,0.00060646431305489,0,TRUE,TRUE,TRUE,100522,51,1.5514200664724,3.13433507338674
"96","S119",2,"G04","Control","TRUE","0",2,"Sample",FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE,60599,53,1.59432741563677,2.75159752599147
"97","S12",1,"D02","Plu","TRUE","1",1,"Sample",FALSE,0,0.0341344073494658,0,0,0.0341344073494658,FALSE,FALSE,FALSE,58035,61,1.53947420613015,2.24928698244201
"98","S121",2,"A05","Cin","TRUE","100",2,"Sample",FALSE,0.805878976713677,0,0,0.805878976713677,0,TRUE,TRUE,TRUE,23675,74,2.57595627895389,7.42000595686133
"99","S123",2,"C05","Plu","TRUE","1",2,"Sample",FALSE,0.000704697110741846,0,0,0,0.000704697110741846,FALSE,FALSE,FALSE,114862,85,1.37625208605677,1.88213305354205
"100","S124",2,"D05","Cry","TRUE","1",2,"Sample",FALSE,0.000823057364158791,0.132343214920854,0,0.132343214920854,0.000823057364158791,TRUE,FALSE,FALSE,117957,83,1.63741129234913,3.24054359389493
"101","S126",2,"F05","Plu","TRUE","1",2,"Sample",FALSE,0,0.00963498930826993,0,0,0.00963498930826993,FALSE,FALSE,FALSE,159322,81,1.84728985726976,3.7644859160854
"102","S128",2,"H05","Plu","TRUE","100",2,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,49590,59,2.11299689083139,5.10749580257343
"103","S129",2,"A06","Control","TRUE","0",2,"Sample",FALSE,0.000125961283479183,0.00225404402015381,0,NA,0.00238000530363299,FALSE,FALSE,FALSE,150481,88,1.94804773007178,3.23951857579311
"104","S13",1,"E02","Control","TRUE","0",1,"Sample",FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE,46889,116,2.46389123321431,6.30354755440866
"105","S130",2,"B06","Cin","TRUE","100",2,"Sample",FALSE,0.833805867296712,0,0,0.833805867296712,0,TRUE,TRUE,TRUE,25323,109,2.98600207267771,10.5102789834537
"106","S131",2,"C06","Cin","TRUE","1",2,"Sample",FALSE,0.335886630239255,0,0,0.335886630239255,0,TRUE,TRUE,TRUE,78637,113,2.72015786116733,7.55917579209246
"107","S132",2,"D06","Cry","TRUE","1",2,"Sample",FALSE,0.00105044223618143,0.00148112355301582,0,0.00148112355301582,0.00105044223618143,TRUE,FALSE,FALSE,94957,99,2.44738566372116,7.14483097484413
"108","S136",2,"H06","Plu","TRUE","1",2,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,21567,29,1.51538600546268,3.31882053422712
"109","S137",2,"B07","Cry","TRUE","100",2,"Sample",FALSE,0.000331871305689351,0.0214012144695889,0,0.0214012144695889,0.000331871305689351,TRUE,FALSE,FALSE,109066,56,1.59514013270769,2.41328117878483
"110","S138",2,"C07","Plu","TRUE","100",2,"Sample",FALSE,0.00029502053183431,0,0.00963999521588327,0.00963999521588327,0.00029502053183431,TRUE,FALSE,FALSE,124169,93,1.62590219730763,2.30486057149929
"111","S139",2,"D07","Cin","TRUE","100",2,"Sample",FALSE,0.682072135097845,0,0,0.682072135097845,0,TRUE,TRUE,TRUE,65441,134,2.49591949979176,5.45887904494154
"112","S14",1,"F02","Cin","TRUE","1",1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,68269,64,1.56911500613951,2.98592500733902
"113","S141",2,"F07","Cry","TRUE","100",2,"Sample",FALSE,0,0.0191057422088,0,0.0191057422088,0,TRUE,TRUE,TRUE,93542,84,1.84856629658701,3.6792200208114
"114","S150",2,"G08","Control","TRUE","0",2,"Sample",FALSE,0,0.00970986975783618,0,NA,0.00970986975783618,FALSE,FALSE,FALSE,118918,83,1.69798353076166,2.6860974214895
"115","S151",2,"H08","Cin","TRUE","1",2,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,71535,62,1.89628017722268,4.60453667568111
