sample_name,plate,well,organism,flooded,path_conc,experiment,sample_type,is_ambiguous,cin_prop,cry_prop,plu_prop,expected_innoc_prop,unexpected_innoc_prop,expected_innoc,only_expected_innoc,valid_inoc
S118,2,F04,Cry,FALSE,100,2,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S119,2,G04,Control,TRUE,0,2,Sample,FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE
S120,2,H04,Cry,FALSE,1,2,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S121,2,A05,Cin,TRUE,100,2,Sample,FALSE,0.8058789767136767,0,0,0.8058789767136767,0,TRUE,TRUE,TRUE
S122,2,B05,Cry,FALSE,100,2,Sample,FALSE,8.204489836334573e-4,0,0,0,8.204489836334573e-4,FALSE,FALSE,FALSE
S123,2,C05,Plu,TRUE,1,2,Sample,FALSE,7.046971107418459e-4,0,0,0,7.046971107418459e-4,FALSE,FALSE,FALSE
S124,2,D05,Cry,TRUE,1,2,Sample,FALSE,8.230573641587913e-4,0.1323432149208542,0,0.1323432149208542,8.230573641587913e-4,TRUE,FALSE,FALSE
S125,2,E05,Plu,FALSE,1,2,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S126,2,F05,Plu,TRUE,1,2,Sample,FALSE,0,0.009634989,0,0,0.009634989,FALSE,FALSE,FALSE
S127,2,G05,Plu,FALSE,100,2,Sample,FALSE,0.004550563,0,0,0,0.004550563,FALSE,FALSE,FALSE
S128,2,H05,Plu,TRUE,100,2,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S129,2,A06,Control,TRUE,0,2,Sample,FALSE,1.2596128347918325e-4,0.002254044,0,NA,0.002380005,FALSE,FALSE,FALSE
S130,2,B06,Cin,TRUE,100,2,Sample,FALSE,0.833805867,0,0,0.833805867,0,TRUE,TRUE,TRUE
S131,2,C06,Cin,TRUE,1,2,Sample,FALSE,0.33588663023925547,0,0,0.33588663023925547,0,TRUE,TRUE,TRUE
S132,2,D06,Cry,TRUE,1,2,Sample,FALSE,0.001050442,0.001481124,0,0.001481124,0.001050442,TRUE,FALSE,FALSE
