sample_name,primer_name,plate,well,organism,flooded,path_conc,experiment,sample_type,is_ambiguous
S57,its,1,D08,Cry,FALSE,1,1,Sample,FALSE
S58,rps10,1,E08,Cin,FALSE,1,1,Sample,FALSE
S58,its,1,E08,Cin,FALSE,1,1,Sample,FALSE
S59,rps10,1,F08,Cry,FALSE,1,1,Sample,FALSE
S59,its,1,F08,Cry,FALSE,1,1,Sample,FALSE
S6,rps10,1,F01,Cry,TRUE,1,1,Sample,FALSE
S6,its,1,F01,Cry,TRUE,1,1,Sample,FALSE
S60,rps10,1,G08,Cin,FALSE,1,1,Sample,FALSE
S60,its,1,G08,Cin,FALSE,1,1,Sample,FALSE
S61,rps10,1,H08,Cin,FALSE,1,1,Sample,FALSE
S61,its,1,H08,Cin,FALSE,1,1,Sample,FALSE
S62,rps10,1,A09,Cry,TRUE,1,1,Sample,FALSE
S62,its,1,A09,Cry,TRUE,1,1,Sample,FALSE
S63,rps10,1,B09,Cin,TRUE,1,1,Sample,FALSE
S63,its,1,B09,Cin,TRUE,1,1,Sample,FALSE
S64,rps10,1,C09,Control,FALSE,0,1,Sample,FALSE
S64,its,1,C09,Control,FALSE,0,1,Sample,FALSE
S65,rps10,1,D09,Plu,TRUE,100,1,Sample,FALSE
S65,its,1,D09,Plu,TRUE,100,1,Sample,FALSE
S66,rps10,1,E09,Cin,TRUE,1,1,Sample,FALSE
S66,its,1,E09,Cin,TRUE,1,1,Sample,FALSE
S67,rps10,1,F09,Cin,TRUE,?,1,Sample,TRUE
S67,its,1,F09,Cin,TRUE,?,1,Sample,TRUE
S68,rps10,1,G09,Plu,FALSE,1,1,Sample,FALSE
S68,its,1,G09,Plu,FALSE,1,1,Sample,FALSE
S69,rps10,1,H09,Plu,FALSE,1,1,Sample,FALSE
S69,its,1,H09,Plu,FALSE,1,1,Sample,FALSE
S7,rps10,1,G01,Cry,TRUE,1,1,Sample,FALSE
S7,its,1,G01,Cry,TRUE,1,1,Sample,FALSE
S70,rps10,1,A10,Plu,FALSE,1,1,Sample,FALSE
S70,its,1,A10,Plu,FALSE,1,1,Sample,FALSE
S71,rps10,1,B10,Plu,TRUE,?,1,Sample,TRUE
S71,its,1,B10,Plu,TRUE,?,1,Sample,TRUE
S72,rps10,1,D10,Plu,FALSE,1,1,Sample,FALSE
S72,its,1,D10,Plu,FALSE,1,1,Sample,FALSE
S73,rps10,1,E10,Control,FALSE,0,1,Sample,FALSE
S73,its,1,E10,Control,FALSE,0,1,Sample,FALSE
S74,rps10,1,F10,Control,TRUE,0,1,Sample,FALSE
S74,its,1,F10,Control,TRUE,0,1,Sample,FALSE
S75,rps10,1,G10,Cry,FALSE,?,1,Sample,TRUE
S75,its,1,G10,Cry,FALSE,?,1,Sample,TRUE
S76,rps10,1,H10,Cin,FALSE,1,1,Sample,FALSE
S76,its,1,H10,Cin,FALSE,1,1,Sample,FALSE
S77,rps10,1,A11,Plu,FALSE,100,1,Sample,FALSE
S77,its,1,A11,Plu,FALSE,100,1,Sample,FALSE
S78,rps10,1,B11,Control,FALSE,0,1,Sample,FALSE
S78,its,1,B11,Control,FALSE,0,1,Sample,FALSE
S79,rps10,1,C11,Control,TRUE,0,1,Sample,FALSE
S79,its,1,C11,Control,TRUE,0,1,Sample,FALSE
S8,rps10,1,H01,Cin,TRUE,100,1,Sample,FALSE
S8,its,1,H01,Cin,TRUE,100,1,Sample,FALSE
S80,rps10,1,D11,Cry,TRUE,1,1,Sample,FALSE
S80,its,1,D11,Cry,TRUE,1,1,Sample,FALSE
S81,rps10,1,E11,Cin,FALSE,100,1,Sample,FALSE
S81,its,1,E11,Cin,FALSE,100,1,Sample,FALSE
S82,rps10,1,F11,Cry,TRUE,100,1,Sample,FALSE
S82,its,1,F11,Cry,TRUE,100,1,Sample,FALSE
S83,rps10,1,G11,Cry,FALSE,100,1,Sample,FALSE
S83,its,1,G11,Cry,FALSE,100,1,Sample,FALSE
S84,rps10,1,H11,Cin,TRUE,100,1,Sample,FALSE
S84,its,1,H11,Cin,TRUE,100,1,Sample,FALSE
S85,rps10,1,A12,Plu,FALSE,1,2,Sample,FALSE
S85,its,1,A12,Plu,FALSE,1,2,Sample,FALSE
S86,rps10,1,B12,Plu,TRUE,1,2,Sample,FALSE
S86,its,1,B12,Plu,TRUE,1,2,Sample,FALSE
S87,rps10,1,C12,Cry,FALSE,100,2,Sample,FALSE
S87,its,1,C12,Cry,FALSE,100,2,Sample,FALSE
S88,rps10,1,D12,Cin,TRUE,100,2,Sample,FALSE
S88,its,1,D12,Cin,TRUE,100,2,Sample,FALSE
S89,rps10,1,E12,Cry,TRUE,100,2,Sample,FALSE
S89,its,1,E12,Cry,TRUE,100,2,Sample,FALSE
S9,rps10,1,A02,Cry,FALSE,100,1,Sample,FALSE
S9,its,1,A02,Cry,FALSE,100,1,Sample,FALSE
S90,rps10,1,F12,Cry,TRUE,100,2,Sample,FALSE
S90,its,1,F12,Cry,TRUE,100,2,Sample,FALSE
S91,rps10,2,A01,Control,FALSE,0,2,Sample,FALSE
S91,its,2,A01,Control,FALSE,0,2,Sample,FALSE
S92,rps10,2,B01,Cry,FALSE,1,2,Sample,FALSE
S92,its,2,B01,Cry,FALSE,1,2,Sample,FALSE
S93,rps10,2,C01,Cin,FALSE,100,2,Sample,FALSE
S93,its,2,C01,Cin,FALSE,100,2,Sample,FALSE
S94,rps10,2,D01,Control,FALSE,0,2,Sample,FALSE
S94,its,2,D01,Control,FALSE,0,2,Sample,FALSE
S95,rps10,2,E01,Control,TRUE,0,2,Sample,FALSE
S95,its,2,E01,Control,TRUE,0,2,Sample,FALSE
S96,rps10,2,F01,Cin,TRUE,1,2,Sample,FALSE
S96,its,2,F01,Cin,TRUE,1,2,Sample,FALSE
S97,rps10,2,G01,Cin,TRUE,100,2,Sample,FALSE
S97,its,2,G01,Cin,TRUE,100,2,Sample,FALSE
S98,rps10,2,H01,Plu,TRUE,100,2,Sample,FALSE
S98,its,2,H01,Plu,TRUE,100,2,Sample,FALSE
S99,rps10,2,A02,Cin,FALSE,1,2,Sample,FALSE
S99,its,2,A02,Cin,FALSE,1,2,Sample,FALSE
SDNA_C1,rps10,1,G02,NA,NA,NA,NA,Negative control,FALSE
SDNA_C1,its,1,G02,NA,NA,NA,NA,Negative control,FALSE
SDNA_C2,rps10,1,H07,NA,NA,NA,NA,Negative control,FALSE
SDNA_C2,its,1,H07,NA,NA,NA,NA,Negative control,FALSE
SDNA_C3,rps10,2,E02,NA,NA,NA,NA,Negative control,FALSE
SDNA_C3,its,2,E02,NA,NA,NA,NA,Negative control,FALSE
SDNA_C4,rps10,2,A07,NA,NA,NA,NA,Negative control,FALSE
SDNA_C4,its,2,A07,NA,NA,NA,NA,Negative control,FALSE
SMC1,rps10,1,G12,NA,NA,NA,NA,Mock community,FALSE
SMC1,its,1,G12,NA,NA,NA,NA,Mock community,FALSE
SMC2,rps10,1,H12,NA,NA,NA,NA,Mock community,FALSE
SMC2,its,1,H12,NA,NA,NA,NA,Mock community,FALSE
SMC3,rps10,2,C11,NA,NA,NA,NA,Mock community,FALSE
SMC3,its,2,C11,NA,NA,NA,NA,Mock community,FALSE
SMC4,rps10,2,D11,NA,NA,NA,NA,Mock community,FALSE
SMC4,its,2,D11,NA,NA,NA,NA,Mock community,FALSE
SPCR_C1,rps10,1,D05,NA,NA,NA,NA,Negative control,FALSE
SPCR_C1,its,1,D05,NA,NA,NA,NA,Negative control,FALSE
SPCR_C2,rps10,1,C10,NA,NA,NA,NA,Negative control,FALSE
SPCR_C2,its,1,C10,NA,NA,NA,NA,Negative control,FALSE
SPCR_C3,rps10,2,G09,NA,NA,NA,NA,Negative control,FALSE
SPCR_C3,its,2,G09,NA,NA,NA,NA,Negative control,FALSE
SPCR_C4,rps10,2,C04,NA,NA,NA,NA,Negative control,FALSE
SPCR_C4,its,2,C04,NA,NA,NA,NA,Negative control,FALSE
