Species,Number of sequences
Agaricus_candussoi,1
Agaricus_carassaii,1
Agaricus_caribaeus,1
Agaricus_catenocystis,1
Agaricus_chartaceus,2
Agaricus_chiangmaiensis,1
Agaricus_ciferrianus,1
Agaricus_coccyginus,1
Agaricus_collegarum,1
Agaricus_columellatus,1
Agaricus_comtulus,2
Agaricus_coniferarum,1
Agaricus_cordillerensis,1
Agaricus_crassisquamosus,1
Agaricus_crocodilinus,1
Agaricus_cupressophilus,1
Agaricus_daliensis,1
Agaricus_deserticola,1
Agaricus_desjardinii,1
Agaricus_devoniensis,1
Agaricus_dilutibrunneus,1
Agaricus_diminutivus,1
Agaricus_diospyros,1
Agaricus_dolichopus,1
Agaricus_duplocingulatoides,1
Agaricus_duplocingulatus,1
Agaricus_eburneocanus,1
Agaricus_erectosquamosus,1
Agaricus_erythrosarx,1
Agaricus_exilissimus,1
Agaricus_fiardii,1
Agaricus_fissuratus,1
Agaricus_flavicentrus,1
Agaricus_flavidodiscus,1
Agaricus_flocculosipes,1
Agaricus_floridanus,1
Agaricus_freirei,1
Agaricus_furfuripes,1
Agaricus_fuscopunctatus,1
Agaricus_gastronevadensis,1
Agaricus_gemlii,1
Agaricus_glabriusculus,1
Agaricus_globocystidiatus,1
Agaricus_goossensiae,1
Agaricus_grandiomyces,1
Agaricus_gregariomyces,1
Agaricus_griseicephalus,1
Agaricus_guachari,1
Agaricus_guizhouensis,1
Agaricus_guzmanii,1
Agaricus_haematinus,1
Agaricus_hanthanaensis,1
Agaricus_heinemannianus,1
Agaricus_heterocystis,3
Agaricus_hingganensis,1
Agaricus_hortusdamarum,1
Agaricus_hupohanae,1
Agaricus_impudicus,1
Agaricus_incultorum,1
Agaricus_inilleasper,1
Agaricus_iranicus,1
Agaricus_jacobi,1
Agaricus_jilinensis,1
Agaricus_julius,1
Agaricus_karstomyces,1
Agaricus_kerriganii,1
Agaricus_kriegeri,1
Agaricus_kunmingensis,1
Agaricus_lanipedisimilis,1
Agaricus_lanipes,1
Agaricus_laparrae,1
Agaricus_latiumbonatus,1
Agaricus_leptocaulis,1
Agaricus_leucocarpus,1
Agaricus_leucolepidotus,1
Agaricus_lilaceps,1
Agaricus_litoralis,1
Agaricus_litoraloides,1
Agaricus_lodgeae,1
Agaricus_longistipes,1
Agaricus_lusitanicus,1
Agaricus_luteofibrillosus,2
Agaricus_macrocarpus,1
Agaricus_martinicensis,1
Agaricus_megacarpus,1
Agaricus_megacystidiatus,1
Agaricus_megalocarpus,1
Agaricus_megalosporus,1
Agaricus_melanocarpus,1
Agaricus_microincrustatus,1
Agaricus_microvolvatulus,1
Agaricus_midnapurensis,1
Agaricus_moellerianus,1
Agaricus_moelleroides,1
Agaricus_moronii,1
Agaricus_murinocephalus,1
Agaricus_nevoi,1
Agaricus_nigrogracilis,1
Agaricus_ornatipes,1
Agaricus_pakistanicus,1
Agaricus_pallens,1
Agaricus_pallidobrunneus,1
Agaricus_parasubrutilescens,1
Agaricus_parvibicolor,1
Agaricus_parvitigrinus,1
Agaricus_parviumbrus,1
Agaricus_pearsonii,1
Agaricus_phaeolepidotus,1
Agaricus_pietatis,1
Agaricus_pilosporus,1
Agaricus_pixinortui,1
Agaricus_planipileus,1
Agaricus_porphyrocephalus_var._pallidus,1
Agaricus_porphyropos,1
Agaricus_pseudolutosus,2
Agaricus_pseudopratensis,1
Agaricus_punjabensis,1
Agaricus_purpureosquamulosus,1
Agaricus_purpurlesquameus,1
Agaricus_pusillobulbosus,1
Agaricus_reducibulbus,1
Agaricus_rufoaurantiacus,1
Agaricus_salvatoris,1
Agaricus_sandianus,1
Agaricus_semotus,1
Agaricus_silvicolae-similis,1
Agaricus_sinodeliciosus,1
Agaricus_sipapuensis,1
Agaricus_sodalis,1
Agaricus_sp,162
Agaricus_sparsisquamosus,1
Agaricus_stevensii,1
Agaricus_subantarcticus,1
Agaricus_subrufescens,1
Agaricus_subrufescentoides,1
Agaricus_subsaharianus,1
Agaricus_subsubensis,1
Agaricus_subtilipes,1
Agaricus_suthepensis,1
Agaricus_sylvaticus,1
Agaricus_taeniatus,1
Agaricus_tennesseensis,1
Agaricus_tephrolepidus,1
Agaricus_thiersii,1
Agaricus_thujae,1
Agaricus_tollocanensis,1
Agaricus_trisulphuratus,2
Agaricus_tytthocarpus,1
Agaricus_variabilicolor,1
Agaricus_variicystis,1
Agaricus_viridopurpurascens,1
Agaricus_wariatodes,1
Agaricus_xanthodermulus,1
Agaricus_xanthodermus,1
Agaricus_xanthosarcus,1
Agaricus_zhangyensis,1
Agonimia_allobata,1
Agonimia_flabelliformis,1
Agonimia_gelatinosa,1
Agonimia_repleta,1
Agonimia_sp,24
Agonimia_vouauxii,2
Agrestia_zerovii,1
Agriosomyces_longus,1
Agrocybe_acericola,1
Agrocybe_aegerita,2
Agrocybe_arvalis,1
Agrocybe_dennisii,1
Agrocybe_elatella,1
Agrocybe_firma,1
Agrocybe_flexuosipes,1
Agrocybe_parasitica,1
Agrocybe_pediades,3
Agrocybe_praecox,2
Agrocybe_pusiola,1
Agrocybe_retigera,1
Agrocybe_rivulosa,1
Agrocybe_salicaceicola,1
Agrocybe_smaragdina,1
Agrocybe_sp,9
Agrocybe_vervacti,1
Ahmadea_dalanensis,1
Ahtiana_sphaerosporella,1
Aigialus_parvus,1
Ainoa_mooreana,1
Ajellomyces_crescens,1
Ajellomycetaceae_sp,8
Akanthomyces_araneicola,1
Akanthomyces_araneogenus,1
Akanthomyces_attenuatus,1
Akanthomyces_lecanii,2
Akanthomyces_muscarius,1
Akanthomyces_noctuidarum,1
Akanthomyces_pyralidarum,1
Akanthomyces_sp,2
Akanthomyces_sulphureus,1
Akanthomyces_thailandicus,1
Akanthomyces_tortricidarum,1
Akanthomyces_waltergamsii,1
Akenomyces_costatus,1
Aklioshbomyces_papillarum,1
Alanphillipsia_aloes,1
Alanphillipsia_aloetica,1
Alanphillipsia_aloicola,1
Alanphillipsia_aloigena,2
Alanphillipsia_euphorbiae,1
Alanphillipsia_sp,2
