Species,Number of sequences
Phytopythium_boreale,1
Phytopythium_carbonicum,1
Phytopythium_chamaehyphon,1
Phytopythium_citrinum,2
Phytopythium_delwarense,1
Phytopythium_helicoides,2
Phytopythium_kandeliae,1
Phytopythium_litorale,2
Phytopythium_megacarpum,2
Phytopythium_mercuriale,1
Phytopythium_mirpurense,1
Phytopythium_montanum,1
Phytopythium_oedochilum,2
Phytopythium_ostracodes,1
Phytopythium_sindhum,2
Phytopythium_vexans,1
Plasmopara_halstedii,2
Plasmopara_obducens,2
Plasmopara_viticola,1
Pseudoperonospora_cannabina,1
Pseudoperonospora_cubensis,4
Pseudoperonospora_humuli,2
Pseudoperonospora_urticae,1
Pythium_abappressorium,2
Pythium_acanthophoron,3
Pythium_acrogynum,2
Pythium_adhaerens,2
Pythium_alternatum,2
Pythium_amasculinum,1
Pythium_anandrum,2
Pythium_angustatum,2
Pythium_aphanidermatum,2
Pythium_apiculatum,2
Pythium_apinafurcum,1
Pythium_apleroticum,2
Pythium_aquasilvae,1
Pythium_aquatile,1
Pythium_aristosporum,2
Pythium_arrhenomanes,2
Pythium_attrantheridium,2
Pythium_barbulae,1
Pythium_biforme,2
Pythium_brachiatum,2
Pythium_brassicum,1
Pythium_camurandrum,2
Pythium_canariense,2
Pythium_capillosum,1
Pythium_carolinianum,2
Pythium_catenulatum,2
Pythium_cederbergense,2
Pythium_chondricola,2
Pythium_citrinum,1
Pythium_coloratum,2
Pythium_conidiophorum,2
Pythium_contiguanum,2
Pythium_cryptoirregulare,2
Pythium_cucurbitacearum,1
Pythium_cylindrosporum,2
Pythium_cystogenes,2
Pythium_debaryanum,2
Pythium_diclinum,1
Pythium_dimorphum,2
Pythium_dissimile,2
Pythium_dissotocum,2
Pythium_echinulatum,2
Pythium_emineosum,2
Pythium_erinaceum,1
Pythium_flevoense,1
Pythium_folliculosum,2
Pythium_glomeratum,2
Pythium_graminicola,2
Pythium_grandisporangium,1
Pythium_heterothallicum,3
Pythium_hydnosporum,1
Pythium_hypogynum,2
Pythium_inflatum,1
Pythium_insidiosum,1
Pythium_intermedium,1
Pythium_iriomotense,1
Pythium_irregulare,3
Pythium_iwayamai,2
Pythium_jasmonium,1
Pythium_junctum,2
Pythium_kashmirense,2
Pythium_kunmingense,2
Pythium_longandrum,2
Pythium_longisporangium,2
Pythium_lucens,2
Pythium_lutarium,2
Pythium_lycopersicum,2
Pythium_mamillatum,2
Pythium_marsipum,1
Pythium_mastophorum,2
Pythium_megalacanthum,1
Pythium_mercuriale,1
Pythium_middletoni,1
Pythium_middletonii,1
Pythium_minus,1
Pythium_monospermum,2
Pythium_myriotylum,2
Pythium_nagaii,2
Pythium_nodosum,1
Pythium_nunn,2
Pythium_okanoganense,1
Pythium_oligandrum,2
Pythium_oopapillum,1
Pythium_ornacarpum,1
Pythium_ornamentatum,2
Pythium_orthogonon,1
Pythium_pachycaule,2
Pythium_paddicum,2
Pythium_paroecandrum,1
Pythium_parvum,2
Pythium_pectinolyticum,1
Pythium_periilum,2
Pythium_periplocum,1
Pythium_perplexum,2
Pythium_phragmiticola,2
Pythium_phragmitis,2
Pythium_pleroticum,2
Pythium_plurisporium,1
Pythium_porphyrae,1
Pythium_prolatum,2
Pythium_pyrilobum,2
Pythium_radiosum,2
Pythium_recalcitrans,1
Pythium_rhizo-oryzae,2
Pythium_rhizosaccharum,2
Pythium_rhizoterrae,1
Pythium_rishiriense,2
Pythium_rostratifingens,2
Pythium_salpingophorum,1
Pythium_schmitthenneri,1
Pythium_scleroteichum,2
Pythium_segnitium,2
Pythium_selbyi,2
Pythium_senticosum,2
Pythium_solare,1
Pythium_spiculum,1
Pythium_spinosum,3
Pythium_splendens,1
Pythium_sukuiense,2
Pythium_sylvaticum,2
Pythium_takayamanum,1
Pythium_tardicrescens,1
Pythium_terrestris,2
Pythium_torulosum,1
Pythium_tracheiphilum,2
Pythium_ultimum,2
Pythium_ultimum_var.sporangiiferum,2
Pythium_uncinulatum,1
Pythium_undulatum,3
Pythium_utonaiense,2
Pythium_vanterpoolii,2
Pythium_viniferum,1
Pythium_violae,2
Pythium_volutum,2
Salisapilia_nakagirii,1
Salisapilia_sapeloensis,1
Salisapilia_sp.,1
Salisapilia_tartarea,1
Saprolegnia_diclina,1
Saprolegnia_ferax,1
Saprolegnia_parasitica,1
Sclerospora_graminicola,2
Thraustotheca_clavata,1
