sample_name,plate,well,organism,flooded,path_conc,experiment,sample_type,is_ambiguous
S8,1,H01,Cin,TRUE,100,1,Sample,FALSE
S80,1,D11,Cry,TRUE,1,1,Sample,FALSE
S82,1,F11,Cry,TRUE,100,1,Sample,FALSE
S84,1,H11,Cin,TRUE,100,1,Sample,FALSE
S86,1,B12,Plu,TRUE,1,2,Sample,FALSE
S88,1,D12,Cin,TRUE,100,2,Sample,FALSE
S89,1,E12,Cry,TRUE,100,2,Sample,FALSE
S90,1,F12,Cry,TRUE,100,2,Sample,FALSE
S95,2,E01,Control,TRUE,0,2,Sample,FALSE
S96,2,F01,Cin,TRUE,1,2,Sample,FALSE
S97,2,G01,Cin,TRUE,100,2,Sample,FALSE
S98,2,H01,Plu,TRUE,100,2,Sample,FALSE
