Genus,Species,Number of sequences
Phytophthora,Phytophthora_fallax,3
Phytophthora,Phytophthora_fluvialis,1
Phytophthora,Phytophthora_foliorum,5
Phytophthora,Phytophthora_fragariae,3
Phytophthora,Phytophthora_frigida,2
Phytophthora,Phytophthora_gallica,2
Phytophthora,Phytophthora_gemini,2
Phytophthora,Phytophthora_gibbosa,1
Phytophthora,Phytophthora_glovera,5
Phytophthora,Phytophthora_gonapodyides,1
Phytophthora,Phytophthora_gondwanensis,1
Phytophthora,Phytophthora_gregata,1
Phytophthora,Phytophthora_hedraiandra,2
Phytophthora,Phytophthora_heveae,3
Phytophthora,Phytophthora_hibernalis,3
Phytophthora,Phytophthora_himalsilva,1
Phytophthora,Phytophthora_humicola,3
Phytophthora,Phytophthora_hydrogena,1
Phytophthora,Phytophthora_hydropathica,3
Phytophthora,Phytophthora_idaei,1
Phytophthora,Phytophthora_ilicis,2
Phytophthora,Phytophthora_infestans,42
Phytophthora,Phytophthora_insolita,2
Phytophthora,Phytophthora_ipomoeae,5
Phytophthora,Phytophthora_iranica,1
Phytophthora,Phytophthora_irrigata,2
Phytophthora,Phytophthora_katsurae,10
Phytophthora,Phytophthora_kelmania,2
Phytophthora,Phytophthora_kernoviae,7
Phytophthora,Phytophthora_kwongonina,1
Phytophthora,Phytophthora_lacustris,3
Phytophthora,Phytophthora_lagoariana,7
Phytophthora,Phytophthora_lateralis,2
Phytophthora,Phytophthora_litoralis,1
Phytophthora,Phytophthora_macrochlamydospora,4
Phytophthora,Phytophthora_meadii,1
Phytophthora,Phytophthora_medicaginis,3
Phytophthora,Phytophthora_megakarya,5
Phytophthora,Phytophthora_megasperma,4
Phytophthora,Phytophthora_melonis,4
Phytophthora,Phytophthora_mengei,3
Phytophthora,Phytophthora_mexicana,1
Phytophthora,Phytophthora_mirabilis,4
Phytophthora,Phytophthora_mirablis,1
Phytophthora,Phytophthora_moyootj,1
Phytophthora,Phytophthora_multivesiculata,4
Phytophthora,Phytophthora_multivora,5
Phytophthora,Phytophthora_nemorosa,1
Phytophthora,Phytophthora_nicotianae,8
Phytophthora,Phytophthora_niederhauserii,4
Phytophthora,Phytophthora_oreophila,1
Phytophthora,Phytophthora_ornamentata,1
