Genus,Number of sequences
Belonioscyphella,2
Belonium,2
Belonopsis,3
Beltrania,8
Beltraniaceae_gen_Incertae_sedis,7
Beltraniella,12
Beltraniopsis,2
Benjaminiella,3
Bensingtonia,11
Bergerella,1
Berkeleyomyces,4
Berkleasmium,26
Bertiella,1
Betamyces,24
Bettsia,3
Beverwykella,1
Bezerromyces,12
Bezerromycetaceae_gen_Incertae_sedis,1
Bhagirathimyces,1
Bhatiellae,1
Biannulariaceae_gen_Incertae_sedis,3
Biappendiculispora,11
Biatora,37
Biatoridium,1
Biatoropsis,8
Biatriospora,18
Biatriosporaceae_gen_Incertae_sedis,4
Bibbya,3
Bicornispora,1
Bifiguratus,19
Bifusella,2
Bifusisporella,2
Bilimbia,6
Bimuria,3
Binderoboletus,1
Bionectria,12
Bionectriaceae_gen_Incertae_sedis,137
Bipolaris,43
Biscogniauxia,55
Bisifusarium,10
Bispora,1
Bisporella,6
Bisporostilbella,1
Bjerkandera,31
Blackwellomyces,6
Blakeslea,3
Blastacervulus,3
Blastenia,26
Blastobotrys,40
Blastocladiaceae_gen_Incertae_sedis,1
Blastocladiales_gen_Incertae_sedis,79
Blastocladiella,4
Blastocladiomycetes_gen_Incertae_sedis,2
Blastocladiomycota_gen_Incertae_sedis,144
Blastomyces,6
Blastospora,1
Blastosporella,1
Blastosporium,1
Bloxamia,2
Blumenavia,5
Blumeria,14
Blumeriella,1
Blyttiomyces,1
Boekhoutia,1
Boeremia,3
Boidinia,7
Bolbitiaceae_gen_Incertae_sedis,112
Bolbitius,16
Boletaceae_gen_Incertae_sedis,194
Boletales_gen_Incertae_sedis,56
Boletellus,17
Boletinellus,8
Boletinus,1
Boletopsis,15
Boletus,106
Boliniaceae_gen_Incertae_sedis,13
Boliniales_gen_Incertae_sedis,17
Bondarzewia,8
Bondarzewiaceae_gen_Incertae_sedis,2
Boninogaster,1
Bonomyces,4
Boothiomyces,4
Borealophlyctis,3
Boreoplaca,1
Borofutus,1
Bothia,4
Botryobambusa,2
Botryobasidiaceae_gen_Incertae_sedis,8
Botryobasidium,48
Botryoderma,1
Botryodiplodia,1
Botryohypochnus,1
Botryohypoxylon,2
Botryolepraria,2
Botryosphaeria,57
Botryosphaeriaceae_gen_Incertae_sedis,39
Botryosphaeriales_gen_Incertae_sedis,26
Botryotinia,4
Botryotrichum,4
Botryozyma,2
Botrytis,4
Boubovia,31
Boudiera,2
Bourdotia,2
Bourdotigloea,19
Bovista,26
Brachiosphaera,1
Brachybasidiaceae_gen_Incertae_sedis,3
Brachychaeta,1
Brachyconidiella,3
Brachyphoris,8
Brachysporiella,1
Brachysporium,5
Bradymyces,14
Brahmaculus,4
Branch01_gen_Incertae_sedis,31
Branch02_gen_Incertae_sedis,10
Branch03_gen_Incertae_sedis,30
Branch04_gen_Incertae_sedis,1
Branch06_gen_Incertae_sedis,214
Branch07_gen_Incertae_sedis,58
Brasiliomyces,1
Brasilioporus,1
Bresadolia,2
Brettanomyces,2
Breviappendix,1
Brevicalcar,4
Brevicellicium,13
Brevicollum,2
Brevistachys,3
Brianaria,2
Briansuttonomyces,1
Bridgeoporus,2
Brigantiaea,3
Brocchiosphaera,10
Brodoa,1
Broomella,2
Brownliella,2
Brunaudia,1
Brunneocarpos,1
Brunneochlamydosporium,2
Brunneoclavispora,2
Brunneocorticium,2
Brunneodinemasporium,4
Brunneofusispora,6
Brunneomurispora,1
Brunneomyces,1
Brunneoporus,2
Brunneosphaerella,2
Brunnipila,6
Brunswickiella,2
Brycekendrickomyces,1
Bryobilimbia,8
Bryocaulon,1
Bryochiton,9
Bryoclavula,1
Bryoglossaceae_gen_Incertae_sedis,2
Bryoglossum,6
Bryonora,1
Bryoperdon,1
Bryoplaca,4
Bryorbilia,1
Bryoria,27
Bryoscyphus,1
Bryostigma,1
Buchwaldoboletus,3
Buckleyzyma,12
Budhanggurabania,2
Buellia,39
Buelliella,1
Buergenerula,3
Buglossoporus,1
Bulbithecium,1
Bulbocatenospora,1
Bulbothrix,16
Bulgaria,1
Bulgariella,1
Bullanockia,1
Bullera,11
Bulleraceae_gen_Incertae_sedis,17
Bulleribasidiaceae_gen_Incertae_sedis,16
Bulleribasidium,16
Bulleromyces,1
Bunodophoron,1
Burgella,2
Burgoa,8
Burrowsia,1
Bussabanomyces,1
Butlerelfia,1
Butyriboletus,27
Buwchfawromyces,2
Byssoascus,2
Byssochlamys,2
Byssocorticiaceae_gen_Incertae_sedis,16
Byssocorticium,31
Byssolecania,1
Byssoloma,1
Byssomerulius,3
Byssoonygena,1
Byssoporia,3
Byssosphaeria,8
Byssothecium,1
Caatingomyces,1
Cabalodontia,4
Cadophora,81
Caecomyces,4
Caeliomyces,1
Caesiodiscus,1
Caespitomonium,1
Cainia,2
Cainiaceae_gen_Incertae_sedis,4
Cairneyella,1
Calcarisporiella,26
Calcarisporiellaceae_gen_Incertae_sedis,11
Calcarisporiellales_gen_Incertae_sedis,2
Calcarisporium,4
Calceomyces,5
Caliciaceae_gen_Incertae_sedis,4
Caliciales_gen_Incertae_sedis,1
Caliciopsis,11
Calicium,25
Calliderma,1
Callistosporiaceae_gen_Incertae_sedis,7
Callistosporium,17
Calloria,5
Calloriaceae_gen_Incertae_sedis,9
Calloriopsis,1
Caloboletus,14
Calocera,11
Calocybe,11
Calocybella,8
Calogaya,24
Calonarius,87
Calonectria,19
Calongea,1
Calopadia,1
Calophoma,11
Caloplaca,120
Caloscypha,3
Calosphaeria,2
Calosphaeriales_gen_Incertae_sedis,6
Calostoma,16
Calvatia,41
Calvitimela,12
Calvolachnella,1
Calycellina,5
Calycina,16
Calyptella,12
Calyptosphaeria,2
Calyptospora,1
Calyptrozyma,15
Camarographium,3
Camarophyllopsis,42
Camarophyllus,8
Camarops,18
Camarosporiaceae_gen_Incertae_sedis,1
Camarosporidiella,7
Camarosporioides,1
Camarosporium,5
Camarosporomyces,1
Camarosporula,1
Camillea,3
Campanella,2
Campanophyllum,1
Camporesiomyces,2
Camposporium,12
Camptobasidiaceae_gen_Incertae_sedis,8
Camptobasidium,4
Camptomeriphila,1
Camptophora,1
Campylocarpon,5
Campylospora,10
Canalisporium,10
Canariomyces,6
Cancellidium,12
Candelabrochaete,12
Candelabrum,35
Candelaria,6
Candelariaceae_gen_Incertae_sedis,2
Candelariales_gen_Incertae_sedis,1
Candelariella,28
Candida,297
Candolleomyces,7
Canomaculina,2
Canomyces,1
Canoparmelia,10
Cantharellaceae_gen_Incertae_sedis,5
Cantharellales_gen_Incertae_sedis,236
Cantharellopsis,1
Cantharellula,8
Cantharellus,106
Cantharocybe,5
Capellomyces,2
Capitofimbria,2
Capitotricha,2
Capnobotryella,10
Capnocheirides,4
Capnodiaceae_gen_Incertae_sedis,3
Capnodiales_gen_Incertae_sedis,599
Capnodium,4
Capronia,499
Capturomyces,2
Capulatispora,1
Carbonea,5
Carbonicola,2
Carcinomyces,9
Carcinomycetaceae_gen_Incertae_sedis,6
Carestiella,1
Caripia,2
Carlosrosaea,9
Carneothele,1
Carolinigaster,1
Cartilosoma,1
Caryophylloseptoria,4
Caryospora,1
Caryosporaceae_gen_Incertae_sedis,1
Castanediella,146
Castanediellaceae_gen_Incertae_sedis,16
Castanedomyces,1
Castoreum,4
Catabotrydaceae_gen_Incertae_sedis,1
Catabotrys,1
Catapyrenium,9
Cataractispora,2
Catathelasma,7
Catenaria,6
Catenariaceae_gen_Incertae_sedis,2
Catenarina,3
Catenochytridiaceae_gen_Incertae_sedis,1
Catenophlyctis,2
Catenularia,1
Catenuliconidia,1
Catenulocercospora,1
Catenulomyces,1
Catenulostroma,13
Catillaria,3
Catillochroma,2
Catinella,1
Caudospora,1
Caulorhiza,1
Cazia,1
Celerioriella,5
Cellypha,1
Celoporthe,6
Celosporium,1
Celotheliaceae_gen_Incertae_sedis,26
Cenangiaceae_gen_Incertae_sedis,6
Cenangiopsis,5
Cenangium,2
Cenococcum,34
Cephaliophora,21
Cephaloascus,2
Cephalosporium,6
Cephalotheca,20
Cephalothecaceae_gen_Incertae_sedis,48
Cephalothecales_gen_Incertae_sedis,18
Cephalotrichiella,2
Cephalotrichum,9
Ceraceomyces,14
Ceraceosorus,7
Ceramothyrium,11
Cerarioporia,1
Ceratellopsis,1
Ceratobasidiaceae_gen_Incertae_sedis,245
Ceratobasidium,550
Ceratocladium,2
Ceratocystidaceae_gen_Incertae_sedis,9
Ceratocystiopsis,16
Ceratocystis,55
Ceratorhiza,2
Ceratosphaeria,3
Ceratosphaeriaceae_gen_Incertae_sedis,4
Ceratosporella,2
Ceratostomella,2
Cercopemyces,2
Cercophora,34
Cercoramularia,1
Cercospora,17
Cercosporella,4
Cercosporidium,1
Cerinomyces,29
Cerinosterus,1
