Genus,Number of sequences
Basfia,11
Basilea,5
Bauldia,103
Bavariicoccus,3
BCf9-17_termite_group,26
BD1-7_clade,130
Bdellovibrio,347
Beggiatoa,30
Beijerinckia,25
Belliella,15
Bellilinea,12
Belnapia,12
Bergeriella,4
Bergeyella,138
Bermanella,4
Bernardetia,5
Beutenbergia,3
Bhargavaea,30
Bibersteinia,41
Bifidobacterium,708
Bilophila,24
Biostraticola,1
Bisgaardia,10
BIyi10,29
Bizionia,22
Blastocatella,165
Blastochloris,24
Blastococcus,104
Blastomonas,29
Blastopirellula,324
Blattabacterium,46
Blautia,3091
Blvii28_wastewater-sludge_group,75
BMM02,3
Bogoriella,7
Bombella,11
Bombilactobacillus,22
Bombiscardovia,3
Bordetella,1367
Borrelia,58
Borreliella,61
Bosea,127
Boseongicola,7
Bounagaea,1
Bowmanella,4
Brachybacterium,160
Brachymonas,88
Brachyspira,63
Brackiella,1
Bradymonas,8
Bradyrhizobium,812
Branchiibius,3
Brenneria,25
Breoghania,7
Brevibacillus,515
Brevibacterium,266
Brevifollis,6
Brevinema,17
Brevirhabdus,4
Brevundimonas,549
Breznakia,10
BRH-c57,3
Brochothrix,70
Brockia,3
Brooklawnia,8
Brucella,537
Brumimicrobium,22
Bryobacter,663
Bryocella,28
BSV13,86
Buchnera,219
Budvicia,6
Bulleidia,4
Burkholderia-Caballeronia-Paraburkholderia,2880
Buttiauxella,64
Butyricicoccus,180
Butyricimonas,56
Butyrivibrio,311
Byssovorax,2
Bythopirellula,24
C-2,3
C1-B045,100
C39,31
Caedibacter,12
Caenimonas,63
Caenispirillum,9
CAG-352,73
CAG-56,30
CAG-873,8
Caldalkalibacillus,7
Caldanaerobacter,56
Caldanaerobius,8
Calderihabitans,1
Caldibacillus,15
Caldicellulosiruptor,171
Caldicoprobacter,121
Caldilinea,9
Caldimicrobium,28
Caldimonas,6
Caldisericum,33
Caldisphaera,13
Calditerricola,4
Calditerrivibrio,12
Caldithrix,23
Caldivirga,5
Caldora_VP642b,6
Calenema,7
Calidifontibacter,3
Caloramator,92
Caloribacterium,5
Calorithrix,24
Calothrix_KVSF5,14
Calothrix_NIES-2100,6
Calothrix_PCC-6303,105
Calothrix_PCC-7507,5
Calothrix_PMC232.04,3
Calothrix_UAM_374,11
Camelimonas,9
Caminibacter,28
Caminicella,39
Campylobacter,1035
Candidatus_Accumulibacter,124
Candidatus_Actinomarina,178
Candidatus_Allobeggiatoa,1
Candidatus_Altiarchaeum,41
Candidatus_Alysiosphaera,54
Candidatus_Amoebophilus,60
Candidatus_Amphibiichlamydia,3
Candidatus_Anadelfobacter,2
Candidatus_Anammoximicrobium,12
Candidatus_Anammoxoglobus,3
Candidatus_Ancillula,23
Candidatus_Annandia,2
Candidatus_Aquiluna,50
Candidatus_Aquirestis,27
Candidatus_Arcanobacter,1
Candidatus_Armantifilum,44
Candidatus_Arthromitus,51
Candidatus_Azobacteroides,24
Candidatus_Babela,3
Candidatus_Bacilloplasma,13
Candidatus_Baumannia,24
Candidatus_Bealeia,8
Candidatus_Benitsuchiphilus,10
Candidatus_Berkiella,52
Candidatus_Blochmannia,36
Candidatus_Branchiomonas,2
Candidatus_Brocadia,32
Candidatus_Brownia,14
Candidatus_Caldatribacterium,48
Candidatus_Caldiarchaeum,58
Candidatus_Captivus,20
Candidatus_Cardinium,23
Candidatus_Carsonella,33
