"","taxon_id","treatment_1","treatment_2","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"711","bbj","TRUE","FALSE",0.357538070461516,-1.28185002654359,2.90160171148699,-0.441773252844779,0.658653295473452,NA
"712","bbk","TRUE","FALSE",0.315643626440239,0.108326902390288,2.90309197325857,0.0373143198314509,0.970234387870193,NA
"713","bbl","TRUE","FALSE",0.103355872305213,0.888843217267564,2.90328447285696,0.306150921681093,0.759489738147607,NA
"714","bbm","TRUE","FALSE",0.12739012004564,0.808261607744745,2.90371411572236,0.278354402511031,0.78074031832999,NA
"715","bbn","TRUE","FALSE",0.0171348655557407,0.603788888132664,2.90382882047073,0.207928540372702,0.835284764164394,NA
"716","bbo","TRUE","FALSE",16.2720413210214,-1.0363127395977,0.32262186650637,-3.21215902325467,0.00131741430593622,0.0190224593410191
"717","bbp","TRUE","FALSE",0,NA,NA,NA,NA,NA
"718","bbq","TRUE","FALSE",0.0329277378602615,0.0639248052611866,2.90371755345365,0.022014815175517,0.98243613760108,NA
"719","bbr","TRUE","FALSE",0,NA,NA,NA,NA,NA
"720","bbs","TRUE","FALSE",0,NA,NA,NA,NA,NA
"721","bbt","TRUE","FALSE",0,NA,NA,NA,NA,NA
"722","bbu","TRUE","FALSE",0,NA,NA,NA,NA,NA
"723","bbv","TRUE","FALSE",0.019773214497212,0.34597957789025,2.90381302819696,0.119146644267615,0.905159177128233,NA
"724","bbw","TRUE","FALSE",0.216219622436136,-0.0182982641410962,2.15592863722497,-0.00848741643167234,0.993228102771828,NA
"725","bbx","TRUE","FALSE",0,NA,NA,NA,NA,NA
"726","bby","TRUE","FALSE",0,0,0,0,1,NA
"727","bbz","TRUE","FALSE",0,NA,NA,NA,NA,NA
"728","bca","TRUE","FALSE",0,NA,NA,NA,NA,NA
"729","bcb","TRUE","FALSE",22.610021566765,-0.8969682185632,0.709817516023501,-1.26366030467682,0.206351978574259,0.583672295328805
"730","bcc","TRUE","FALSE",55.9469333608566,-0.072951766631683,0.494711221762675,-0.147463335017453,0.882766317722599,0.997129227227132
"731","bcd","TRUE","FALSE",1.05293254199,0.179556964279429,2.09143123045048,0.0858536305976236,0.931582772768855,0.997129227227132
"732","bce","TRUE","FALSE",0.848801154300381,-0.303682425348698,1.61320933489228,-0.188247376692111,0.850682735073165,0.994186402037355
"733","bcf","TRUE","FALSE",0.0385677114650561,0.922628764256111,2.90369723069076,0.317742757235274,0.750680075062803,NA
"734","bcg","TRUE","FALSE",19.1283027954598,0.0846208104792772,0.802806242082217,0.105406268715348,0.916053442061051,0.997129227227132
"735","bch","TRUE","FALSE",0.0464030185141505,0.500376243920161,2.90377299582339,0.172319339232051,0.863186481256294,NA
"736","bci","TRUE","FALSE",0.521526300453803,-0.172861159507209,1.36285711939582,-0.126837330962355,0.89906914850152,0.997129227227132
"737","bcj","TRUE","FALSE",0.601556209238881,0.374874406818748,1.18980350838206,0.315072534395631,0.752706581635217,0.939323565478882
"738","bck","TRUE","FALSE",0.0426948936887285,0.34597957789025,2.90381302819696,0.119146644267615,0.905159177128233,NA
"739","bcl","TRUE","FALSE",0.128764072061162,-0.138275238032097,2.65343662512231,-0.0521117545159847,0.958439646944056,NA
"740","bcm","TRUE","FALSE",0,NA,NA,NA,NA,NA
"741","bcn","TRUE","FALSE",0.243038920510502,1.85313788623425,2.90247503048787,0.638468157957852,0.523168975414242,NA
"742","bco","TRUE","FALSE",2.27979738946935,-1.36430454436869,0.863415624149999,-1.58012492038444,0.114078261331298,0.437300001769977
"743","bcp","TRUE","FALSE",0.0271750395074868,0.309473725727733,2.90380474273253,0.106575253209523,0.915125951824722,NA
"744","bcq","TRUE","FALSE",0.02335916273841,0.263642281647659,2.90379462781648,0.0907923305326539,0.927657604230299,NA
"745","bcr","TRUE","FALSE",4.55151324968926,-2.12158510121145,0.700692599973894,-3.02784002755344,0.00246308438298594,0.0289035412289167
"746","bcs","TRUE","FALSE",0.198750411260517,0.727680551384002,2.11944681607291,0.343335131537912,0.73134635412364,NA
"747","bct","TRUE","FALSE",14.7074926482715,-1.13889832468737,0.779837397292365,-1.46043050595122,0.144171793835231,0.510035467648065
"748","bcu","TRUE","FALSE",3.57221943172296,-0.506887191458872,0.432296208466467,-1.17254600325321,0.24097791378621,0.603634011776171
"749","bcv","TRUE","FALSE",0.158762611205863,-0.312686317430783,2.39151674785905,-0.130748119456286,0.895974565227551,NA
"750","bcw","TRUE","FALSE",0.0492625050107289,0.34597957789025,2.90381302819696,0.119146644267615,0.905159177128233,NA
"751","bcx","TRUE","FALSE",0.00624422561559075,0.454777212712963,2.90383475649787,0.156612634963238,0.875550144171499,NA
"752","bcy","TRUE","FALSE",0.0211666069938949,0.382484984793156,2.90382152181496,0.131717800808258,0.895207505186759,NA
"753","bcz","TRUE","FALSE",8.5665416743061,-0.97386756464355,0.47528045862488,-2.04903767232766,0.0404584313065165,0.23263598001247
"754","bda","TRUE","FALSE",1.31490371288407,-3.33917627510973,2.40423055843991,-1.38887523219758,0.164870693207262,0.528835479325051
"755","bdb","TRUE","FALSE",1.22674278574186,-2.04021064893614,1.56356404896405,-1.30484622634289,0.191945214872952,0.571570883094999
"756","bdc","TRUE","FALSE",1.83833010809966,-1.72506224689119,1.00775570267428,-1.7117861425278,0.0869360867332243,0.34937502368275
