"","sample_name","plate","well","organism","flooded","path_conc","experiment","sample_type","is_ambiguous","cin_prop","cry_prop","plu_prop","expected_innoc_prop","unexpected_innoc_prop","expected_innoc","only_expected_innoc","valid_inoc","raw_count","richness","shannon","invsimpson"
"54","S147",2,"D08","Cry",FALSE,100,2,"Sample",FALSE,0.00103231597845601,0.00391980849790545,0,0.00391980849790545,0.00103231597845601,TRUE,FALSE,FALSE,66509,129,2.46331167293465,6.63709522314297
"55","S148",2,"E08","Cry",FALSE,1,2,"Sample",FALSE,0.000423380569322342,0,0,0,0.000423380569322342,FALSE,FALSE,FALSE,80272,175,3.05307536330625,10.3966255422378
"56","S149",2,"F08","Plu",FALSE,100,2,"Sample",FALSE,0.000340146572250224,0,0,0,0.000340146572250224,FALSE,FALSE,FALSE,96984,206,2.77784149722215,5.44080672891506
"57","S15",1,"H02","Cin",FALSE,100,1,"Sample",FALSE,0.600255952093495,0,0,0.600255952093495,0,TRUE,TRUE,TRUE,16555,52,1.7960106991206,3.0209662543171
"58","S150",2,"G08","Control",TRUE,0,2,"Sample",FALSE,0,0.00969287827645122,0,NA,0.00969287827645122,FALSE,FALSE,FALSE,118822,107,1.70736787923694,2.69186898892284
"59","S151",2,"H08","Cin",TRUE,1,2,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,71485,72,1.89951138906204,4.60757160445995
"60","S152",2,"A09","Cry",TRUE,1,2,"Sample",FALSE,9.09142564918461e-05,0.169430081254617,0,0.169430081254617,9.09142564918461e-05,TRUE,FALSE,TRUE,146156,123,1.13538181254132,1.64359371203627
"61","S153",2,"B09","Plu",TRUE,1,2,"Sample",FALSE,0.00234274251325405,0,0,0,0.00234274251325405,FALSE,FALSE,FALSE,139253,147,2.50981799455466,7.87323879164729
"62","S154",2,"C09","Cin",FALSE,100,2,"Sample",FALSE,0.724591765028169,0,0,0.724591765028169,0,TRUE,TRUE,TRUE,46246,114,2.8210212511803,9.65066307647087
"63","S156",2,"D09","Cin",FALSE,1,2,"Sample",FALSE,0.370578293776178,0,0,0.370578293776178,0,TRUE,TRUE,TRUE,85658,92,1.73266537931132,2.66520006482066
"64","S157",2,"E09","Cry",FALSE,1,2,"Sample",FALSE,0.00049483335758987,0,0,0,0.00049483335758987,FALSE,FALSE,FALSE,103014,180,2.58338650782705,6.20360835192278
"65","S158",2,"F09","Cry",TRUE,1,2,"Sample",FALSE,0.000587602830495337,0,0,0,0.000587602830495337,FALSE,FALSE,FALSE,79939,137,1.98628945210137,3.09292019878537
"66","S159",2,"H09","Plu",FALSE,100,2,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,85884,132,2.0262805464255,3.0078938008065
"67","S16",1,"A03","Cry",FALSE,100,1,"Sample",FALSE,0,0.524818905118157,0,0.524818905118157,0,TRUE,TRUE,TRUE,24009,86,2.68816874031605,8.56035585990946
"68","S160",2,"A10","Control",FALSE,0,2,"Sample",FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE,65809,120,2.65552135561866,8.44886990185556
"69","S161",2,"B10","Cry",FALSE,100,2,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,71949,133,2.3852263214931,4.22023761638441
"70","S162",2,"C10","Cin",FALSE,1,2,"Sample",FALSE,0.264692924486739,0,0,0.264692924486739,0,TRUE,TRUE,TRUE,58415,120,2.48863803736681,6.10131930620322
"71","S163",2,"D10","Plu",TRUE,100,2,"Sample",FALSE,0.000459400482370506,0.0387475594349374,0.00198116458022281,0.00198116458022281,0.0392069599173079,TRUE,FALSE,FALSE,66787,111,2.42131361104869,6.94601157754823
"72","S164",2,"E10","Plu",TRUE,1,2,"Sample",FALSE,0.000963982122513364,0,0,0,0.000963982122513364,FALSE,FALSE,FALSE,68400,100,1.72831458005263,2.79061639704439
"73","S165",2,"F10","Cin",FALSE,1,2,"Sample",FALSE,0,0.0999563628429608,0,0,0.0999563628429608,FALSE,FALSE,FALSE,66002,134,2.66861418072091,8.14645959716112
"74","S166",2,"G10","Plu",FALSE,100,2,"Sample",FALSE,0,0,0.00256137565345037,0.00256137565345037,0,TRUE,TRUE,TRUE,66590,92,2.31027740621558,5.2478903317499
"75","S167",2,"H10","Plu",TRUE,100,2,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,46289,72,1.76280641341231,3.17479239034748
"76","S168",2,"A11","Cin",TRUE,1,2,"Sample",FALSE,0.000592719039320981,0,0,0.000592719039320981,0,TRUE,TRUE,TRUE,84307,143,2.69519330171963,7.97265492199358
"77","S169",2,"B11","Cin",FALSE,100,2,"Sample",FALSE,0.777179591184532,0,0,0.777179591184532,0,TRUE,TRUE,TRUE,54384,159,2.75666037881324,7.99091104151406
"78","S17",1,"B03","Cry",TRUE,100,1,"Sample",FALSE,0,0.107052039683392,0,0.107052039683392,0,TRUE,TRUE,TRUE,49864,112,2.21950869734895,4.03962591392688
