Species,Number of sequences
Pythium_spiculum,1
Pythium_spinosum,2
Pythium_splendens,1
Pythium_sukuiense,1
Pythium_sylvaticum,2
Pythium_takayamanum,1
Pythium_tardicrescens,1
Pythium_terretris,1
Pythium_torulosum,1
Pythium_tracheiphilum,1
Pythium_ultimum,2
Pythium_ultimum_var.sporangiiferum,2
Pythium_uncinulatum,1
Pythium_undulatum,3
Pythium_utonaiense,1
Pythium_vanterpoolii,2
Pythium_viniferum,1
Pythium_violae,2
Pythium_volotum,1
Pythium_volutum,1
Salisapilia_nakagirii,1
Salisapilia_sp.,1
Salisapilia_tartarea,1
Saprolegnia_diclina,1
Saprolegnia_ferax,1
Saprolegnia_parasitica,1
Sclerospora_graminicola,1
Thraustotheca_clavata,1
