"sample_name","richness_sf","richness_demulticoder","richness_diff","shannon_sf","shannon_demulticoder","shannon_diff","invsimpson_sf","invsimpson_demulticoder","invsimpson_diff"
"S113",101,101,0,1.75229594399716,1.75335399144839,0.00105804745123006,3.19793016918634,3.19921741465491,0.00128724546856995
"S114",129,129,0,2.30157485429541,2.30256929295313,0.000994438657719865,3.65864270323826,3.6640424021568,0.00539969891854009
"S115",77,77,0,2.3982256760993,2.39858457770567,0.000358901606369866,7.92153132618267,7.92467589308293,0.00314456690025988
"S116",61,62,1,1.51435489246917,1.51527335926497,0.000918466795799988,3.21314684917421,3.21491008485388,0.00176323567966996
"S117",68,68,0,1.55842050731674,1.55912071114834,0.000700203831599966,3.1390636676948,3.13951703267429,0.000453364979490001
"S118",59,59,0,1.5224355456328,1.52256712512899,0.000131579496190026,2.43131415738366,2.43083937017906,0.000474787204599814
"S119",65,65,0,1.59889770932859,1.59970621257122,0.000808503242629932,2.75303273873694,2.75477852196162,0.00174578322467989
"S12",65,65,0,1.54179753789879,1.54168540395047,0.000112133948320103,2.25102984495797,2.25037250788645,0.000657337071520381
"S120",81,81,0,2.19870743527905,2.19978753850328,0.00108010322423002,4.34854347916285,4.35201220357303,0.00346872441017965
"S121",74,74,0,2.57520089327232,2.57595627895389,0.000755385681570075,7.41811515646579,7.42000595686132,0.0018908003955298
"S122",141,141,0,2.55864442989206,2.56028596924219,0.00164153935013012,5.18240358686001,5.1864847716395,0.00408118477948971
"S123",117,117,0,1.39006249811184,1.39100141943806,0.000938921326220088,1.88737793613952,1.8880126804773,0.000634744337780102
"S124",109,108,1,1.64739210117266,1.64795054978287,0.000558448610209927,3.24721388886306,3.24791808965569,0.000704200792629894
"S125",126,126,0,2.51867493146097,2.51908922365491,0.000414292193939847,6.15412527837966,6.15527182989832,0.0011465515186595
"S126",114,113,1,1.86276574004692,1.86080351440815,0.00196222563876991,3.77655881535063,3.77580443052896,0.000754384821670229
"S127",93,93,0,1.83260881683268,1.83421325481957,0.00160443798689003,3.40391770000984,3.40675238312124,0.00283468311139989
"S128",63,63,0,2.11384770346256,2.11460671925652,0.000759015793959872,5.10678419913709,5.10934998493312,0.00256578579602973
"S129",127,127,0,1.96283001458977,1.9628674139745,3.73993847300191e-05,3.25010541301988,3.25017865763613,7.32446162499123e-05
"S13",126,126,0,2.46667782516195,2.4681772923468,0.00149946718484983,6.30579175272501,6.31000429475422,0.00421254202921073
"S130",109,109,0,2.98470442344157,2.98600207267771,0.00129764923614006,10.5001012603287,10.5102789834537,0.0101777231250004
"S131",134,135,1,2.72841648756929,2.72949020281106,0.00107371524177013,7.57119074495731,7.57669746155548,0.00550671659817059
"S132",135,135,0,2.45881251583229,2.4608397094454,0.00202719361310999,7.1545499616059,7.1674533700869,0.0129034084809998
"S133",135,133,2,2.55806294460073,2.55871511955844,0.00065217495770975,6.44215177953565,6.44976987368522,0.00761809414956982
"S134",73,72,1,2.373342544165,2.37257483086698,0.000767713298019945,4.51826510177856,4.5174285823958,0.000836519382760414
"S135",114,113,1,2.41644381668306,2.41636245989326,8.13567898001466e-05,6.24231753064114,6.24311271609299,0.000795185451850422
"S136",29,29,0,1.51491571796778,1.51538600546268,0.000470287494900079,3.31756613879994,3.31882053422712,0.0012543954271802
"S137",69,69,0,1.60298015185037,1.60139841378363,0.00158173806674,2.42497423354995,2.41655905762803,0.00841517592191998
"S138",130,130,0,1.63955576071066,1.64079348956424,0.00123772885358009,2.31027322908825,2.31222842724248,0.00195519815422962
"S139",147,147,0,2.50003669326504,2.50185729394036,0.00182060067531964,5.45867112503879,5.46672740288425,0.00805627784546026
"S14",71,71,0,1.57232581671135,1.57249197068024,0.00016615396888997,2.98871006095271,2.98811289772611,0.000597163226600195
"S140",131,131,0,2.5755011848622,2.57631840926995,0.000817224407750228,6.04941375563573,6.04933709599663,7.66596391006402e-05
"S141",101,101,0,1.85471078752828,1.85582130143783,0.00111051390954997,3.68414116666026,3.68512638687718,0.000985220216919824
"S142",150,150,0,2.31844758037198,2.31965704418363,0.00120946381164977,3.97991769370098,3.98261675453155,0.0026990608305697
"S143",86,87,1,2.09595450336407,2.09833062705599,0.0023761236919202,3.97308262180246,3.97567909053961,0.00259646873715003
"S144",139,139,0,2.55772069336943,2.55983813982016,0.00211744645072987,6.21569343518271,6.2211984858783,0.00550505069558938
"S145",137,137,0,2.35837132340574,2.35999130897889,0.00161998557315002,3.90401200921103,3.90670588181453,0.00269387260349996
"S146",145,145,0,3.46603017065687,3.46988273311621,0.00385256245934018,16.5412374986552,16.5897976353603,0.048560136705099
"S147",129,129,0,2.46331167293465,2.46410972598529,0.000798053050640402,6.63709522314297,6.64073403167324,0.00363880853026988
"S148",175,176,1,3.05307536330625,3.05550170474228,0.00242634143602993,10.3966255422378,10.4104031871004,0.0137776448625999
"S149",206,207,1,2.77784149722215,2.77942031317256,0.00157881595040976,5.44080672891506,5.4473090645875,0.0065023356724403
"S15",52,52,0,1.7960106991206,1.79810861542259,0.00209791630199008,3.0209662543171,3.02502807894989,0.00406182463279015
"S150",107,107,0,1.70736787923694,1.7079206147407,0.000552735503760005,2.69186898892284,2.69188884508425,1.98561614102033e-05
"S151",72,72,0,1.89951138906204,1.90066777943064,0.00115639036859982,4.60757160445995,4.60904514829774,0.00147354383779064
"S152",123,123,0,1.13538181254132,1.13643060387109,0.00104879132977009,1.64359371203627,1.64437973065741,0.000786018621139917
"S153",147,148,1,2.50981799455466,2.51177599713427,0.00195800257960999,7.87323879164729,7.88099043849089,0.00775164684360075
"S154",114,114,0,2.8210212511803,2.8238317709552,0.00281051977489977,9.65066307647087,9.67301253492533,0.0223494584544603
"S156",92,93,1,1.73266537931132,1.73380330911808,0.00113792980675997,2.66520006482066,2.66706028357889,0.00186021875822995
"S157",180,180,0,2.58338650782705,2.5884482978117,0.00506178998464968,6.20360835192278,6.23055373890645,0.0269453869836704
"S158",137,137,0,1.98628945210137,1.98776598134769,0.00147652924631991,3.09292019878537,3.09533694954306,0.00241675075768999
"S159",132,133,1,2.0262805464255,2.0289795803381,0.00269903391260007,3.0078938008065,3.01217493438716,0.00428113358066007
"S16",86,86,0,2.68816874031605,2.68952272668248,0.00135398636643025,8.56035585990946,8.57119470450535,0.0108388445958898
"S160",120,121,1,2.65552135561866,2.65936159544092,0.00384023982226012,8.44886990185556,8.46432888659291,0.0154589847373501
"S161",133,133,0,2.3852263214931,2.38302105449231,0.00220526700078993,4.22023761638441,4.19492448778211,0.0253131286023001
"S162",120,121,1,2.48863803736681,2.49037958195182,0.00174154458500997,6.10131930620322,6.1056546006303,0.00433529442707936
"S163",111,111,0,2.42131361104869,2.4224783861449,0.00116477509621005,6.94601157754823,6.94936898924251,0.00335741169427983
"S164",100,100,0,1.72831458005263,1.72887865622207,0.000564076169439875,2.79061639704439,2.7929817282004,0.00236533115601034
"S165",134,134,0,2.66861418072091,2.67374219943939,0.00512801871848012,8.14645959716112,8.18298627754321,0.0365266803820887
"S166",92,92,0,2.31027740621558,2.30771715788667,0.00256024832890978,5.2478903317499,5.24321427478927,0.00467605696063078
"S167",72,72,0,1.76280641341231,1.76317949331106,0.000373079898750017,3.17479239034748,3.17437288170498,0.000419508642500066
"S168",143,144,1,2.69519330171963,2.6959317239945,0.00073842227487031,7.97265492199358,7.97109671776613,0.00155820422744934
"S169",159,159,0,2.75666037881324,2.75752998254447,0.000869603731230129,7.99091104151406,7.99676413478262,0.0058530932685601
"S17",112,111,1,2.21950869734895,2.21983149652783,0.000322799178880118,4.03962591392688,4.04105465759118,0.00142874366429968
"S18",118,118,0,2.35918066144249,2.35872513301122,0.000455528431269947,4.55722057901231,4.53708804197109,0.0201325370412198
"S2",105,105,0,2.75998812520079,2.76080373772976,0.00081561252897,8.79521882133734,8.80514857691645,0.00992975557911002
"S20",99,99,0,2.05028810814713,2.04925866080028,0.00102944734685018,3.60885433143828,3.60786155904793,0.000992772390350005
"S21",142,142,0,2.95662834840663,2.95687985353835,0.000251505131720009,9.22272512715822,9.23032333710255,0.00759820994433014
"S22",88,88,0,2.15001550149598,2.15089070605888,0.000875204562900134,5.1828766323339,5.18577692304335,0.00290029070944975
"S23",58,58,0,1.74412366809075,1.74380915115466,0.000314516936089859,2.96536969265573,2.96419057282866,0.00117911982707009
"S24",139,139,0,2.77474716679278,2.77627109733386,0.00152393054107991,4.96637346167227,4.97410898216534,0.00773552049307025
"S25",106,107,1,1.8192391095168,1.82894450065315,0.00970539113635005,2.51861657669929,2.52682627724089,0.0082097005416002
"S26",102,102,0,1.84572293680318,1.84566392598106,5.90108221198982e-05,2.86447752633433,2.86379828227476,0.000679244059569761
"S27",110,109,1,2.52847006915325,2.52761028280303,0.000859786350219771,5.21602332877277,5.21381862024968,0.00220470852308985
"S28",142,142,0,3.24239944537645,3.24204577216079,0.000353673215660155,12.6588878366761,12.6528395093099,0.00604832736620153
